362;arms_factory;1583.00;10.25;1515.00;4.85;0
362;arms_factory;1577.00;9.90;1493.00;1.23;0
362;arms_factory;1580.00;10.55;1517.00;4.25;0
362;arms_factory;1605.00;9.70;1485.00;5.46;0
362;arms_factory;1565.00;10.57;1484.00;3.30;0
362;arms_factory;1598.00;9.70;1488.00;4.86;0
362;industrial_complex;1576.00;9.80;1485.00;1.24;0
362;industrial_complex;1602.00;9.70;1505.00;3.90;0
362;industrial_complex;1563.00;12.65;1513.00;1.74;0
362;industrial_complex;1605.00;9.70;1507.00;3.30;0
362;industrial_complex;1577.00;10.13;1505.00;5.97;0
362;industrial_complex;1568.00;12.48;1515.00;3.81;0
362;naval_base;1602.00;9.50;1520.00;1.57;8492
362;naval_base;1609.00;9.57;1506.00;1.57;8492
362;naval_base;1628.00;9.50;1503.00;-0.79;8492
362;naval_base;1611.00;9.68;1485.00;-4.25;8492
362;naval_base;1606.00;9.57;1490.00;-4.31;8492
362;naval_base;1614.00;9.50;1487.00;1.19;8492
362;bunker;1599.00;9.70;1480.00;5.52;0
362;bunker;1590.00;9.80;1483.00;2.26;0
362;bunker;1534.00;13.68;1484.00;4.93;0
362;bunker;1577.00;10.63;1536.00;1.31;0
362;bunker;1553.00;11.25;1483.00;3.97;0
362;bunker;1565.00;10.75;1500.00;0.70;0
362;bunker;1592.00;9.88;1521.00;1.91;0
362;bunker;1569.00;10.50;1486.00;6.03;0
362;bunker;1587.00;10.35;1509.00;2.42;0
362;bunker;1578.00;13.00;1527.00;3.98;0
362;bunker;1615.00;9.70;1483.00;0.36;0
362;bunker;1580.00;10.68;1511.00;4.48;0
362;bunker;1591.00;10.55;1523.00;2.32;0
362;bunker;1557.00;11.25;1496.00;2.43;0
362;bunker;1587.00;9.80;1491.00;0.26;0
362;bunker;1605.00;9.70;1495.00;2.93;0
362;bunker;1573.00;9.90;1488.00;4.49;0
362;bunker;1602.00;9.70;1502.00;0.87;0
362;bunker;1572.00;12.32;1522.00;4.99;0
362;bunker;1628.00;9.68;1505.00;6.20;0
362;coastal_bunker;1626.00;9.53;1498.00;-0.79;0
362;coastal_bunker;1613.00;9.55;1497.00;1.19;0
362;coastal_bunker;1610.00;9.50;1503.00;1.57;0
362;coastal_bunker;1619.00;9.55;1479.00;1.21;0
362;coastal_bunker;1599.00;9.55;1517.00;1.57;0
362;coastal_bunker;1605.00;9.60;1491.00;-4.31;0
362;dockyard;1624.00;9.50;1497.00;-0.79;0
362;synthetic_refinery;1552.00;11.85;1492.00;5.15;0
362;fuel_silo;1607.00;9.70;1496.00;3.00;0
1;arms_factory;2954.00;10.07;1366.00;4.93;0
1;arms_factory;2949.00;12.40;1369.00;2.76;0
1;arms_factory;2946.00;12.88;1367.00;0.60;0
1;arms_factory;2949.00;11.75;1359.00;0.70;0
1;arms_factory;2950.00;12.00;1360.00;4.83;0
